,given_name,surname,sex,postcode,phone_number,national_insurance_number,bank_account_number,blood_group,age_grouped,area,weight,SNP3,SNP5,SNP2,n_countries_visited,avg_n_cigret_per_week,height,IP_Address,Diet,SNP4,current_country,SNP1,avg_n_drinks_per_week,Ethnicity,birthdate,education_level,Chip_ID
0,Joel,Spencer,0,BS1 FQI,(07700) 900579,ZZ 97 20 76 T,108456420,B+,"(50, 55]",Bristol,74.2,0.308052753,0.153456027,0.042217262,48,218.8,1.73,390477,poor,0.717644198,United Kingdom,0.728005525,6.5,Pakistanti,05/07/1984,phD,1
1,Justin,Moore,1,BT35 8BA,+44(0)7700900783,ZZ597442T,19089164,A+,"(50, 55]",Newry,69.4,0.273667818,0.066797282,0.047105205,42,43.6,1.74,790570,poor,0.16410546,United Kingdom,0.422101995,0.7,Other Asian Background,17/06/1997,primary,3
2,Henry,Kelly,0,B2 4CK,+447700 900131,ZZ 790553 T,120373837,A+,"(40, 45]",Birmingham,98.6,0.806532237,0.114061045,0.197447636,9,59.1,1.88,311280,moderate,0.937440817,United Kingdom,0.406130075,7.8,Other Black Background,15/06/1990,bachelor,5
3,Andrea,Bentley,0,SW11 A2M,(07700)900966,ZZ 94 33 77 T,39938745,A+,"(50, 55]",Southwark,62,0.845760447,0.162619832,0.826350411,32,284.2,1.56,256013,poor,0.891278579,United Kingdom,0.201241371,4.6,Other Black Background,29/07/2000,primary,3
4,Ashley,Johnston,1,S3 B7M,(07700) 900285,ZZ 485590 T,129776587,A+,"(55, 60]",Sheffield,96.3,0.258984716,0.732581623,0.899884427,34,348.8,1.81,248609,poor,0.186859056,United Kingdom,0.436994854,4.4,Pakistanti,04/11/1968,secondary,2
5,Sarah,Carr,1,SE14 WK2,+44(0)7700 900878,ZZ 00 36 10 T,77931403,A-,"(50, 55]",Wandsworth,43.4,0.823586487,0.950826385,0.285144267,7,219.3,1.59,293842,good,0.67518939,United Kingdom,0.600366896,5.7,Indian,15/10/1963,other,2
6,Hollie,Johnson,1,N1 S1C,+44(0)7700 900246,ZZ 55 16 73 T,110648983,A+,"(40, 45]",Hackney,77.5,0.474122949,0.511514513,0.268040441,34,79.5,1.55,323021,good,0.812625425,United Kingdom,0.680306178,2.4,White and Black Caribbean,08/07/1982,secondary,4
7,Wayne,Wright,0,SE11 N4Q,7700900293,ZZ 43 58 07 T,42961806,O+,"(45, 50]",Lewisham,59,0.49155373,0.389574986,0.846097235,24,48,1.89,291000,moderate,0.921194466,United Kingdom,0.026529311,8.4,Other White Background,20/01/1987,other,1
8,Jill,Morgan,1,LL58 3MN,4.48E+11,ZZ 96 51 07 T,120314197,A+,"(40, 45]",Bangor,83.1,0.709140915,0.394605914,0.394705688,17,148.1,1.42,111506,moderate,0.870696499,United Kingdom,0.860340763,1.2,White and Black Caribbean,07/04/1999,secondary,1
9,Lynn,Peters,1,BS2 Q0J,(07700) 900 907,ZZ447586T,85484780,O+,"(40, 45]",Bristol,80,0.903860458,0.275178956,0.67989441,47,47,1.74,221365,poor,0.649730932,United Kingdom,0.901229935,5.2,Bangladeshi,21/12/1998,bachelor,5
